date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20250614,0,SO2,9,7,6,8,7,8,6,2,7,7,5,3,7,1,4,5,2,7,6,10,5,3,9,8,9,5,6,3,4,5,1,3,2,4,5
20250614,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250614,0,NO2,22,22,21,22,19,16,22,20,22,21,30,21,19,8,9,15,14,14,18,15,15,11,8,16,28,15,16,29,17,19,19,23,30,15,21
20250614,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250614,0,O3,176,163,160,165,156,160,143,130,133,143,129,115,180,154,135,136,124,171,165,169,151,150,164,149,148,147,144,139,148,146,92,78,42,165,164
20250614,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250614,0,CO,0.3,0.5,0.6,0.5,0.6,0.8,0.4,0.6,0.6,0.7,0.7,0.6,0.3,0.7,0.7,0.6,0.6,0.8,0.6,0.7,0.6,0.3,0.7,0.7,0.6,0.7,0.8,0.6,0.6,0.5,0.4,0.6,0.5,0.5,0.5
20250614,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250614,1,SO2,8,6,5,7,7,7,7,1,7,7,6,3,7,3,3,4,2,11,8,9,6,2,8,9,10,5,6,3,3,3,3,3,3,4,6
20250614,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250614,1,NO2,22,19,22,26,17,18,22,43,24,28,34,23,14,5,9,14,12,14,16,19,16,13,7,17,31,18,17,39,17,20,21,28,37,25,18
20250614,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250614,1,O3,155,145,146,146,145,126,139,72,125,116,121,108,169,145,125,127,114,151,148,134,142,129,143,121,119,115,118,107,117,109,67,63,33,131,148
20250614,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
