date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20250207,0,SO2,1,4,8,9,4,4,4,2,5,3,1,1,3,1,4,5,4,2,1,3,4,3,3,2,6,1,5,2,1,3,3,3,5,3,5
20250207,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250207,0,NO2,2,2,2,1,2,2,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,1,1,1,2
20250207,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250207,0,O3,72,71,68,71,68,79,56,63,60,64,62,64,63,65,69,65,74,71,66,68,70,60,63,74,60,51,63,66,62,72,63,62,67,71,72
20250207,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250207,0,CO,0.5,0.3,0.5,0.4,0.4,0.3,0.3,0.2,0.4,0.2,0.2,0.3,0.2,0.3,0.1,0.3,0.3,0.4,0.1,0.2,0.3,0.3,0.1,0.2,0.3,0.2,0.4,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2
20250207,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250207,1,SO2,1,3,7,9,4,4,3,2,5,3,1,3,3,1,4,5,4,3,1,3,4,3,3,1,6,1,4,2,1,3,3,2,4,2,5
20250207,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250207,1,NO2,2,4,2,2,6,2,5,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,3,3,2,2,3,1,1,1,1,2
20250207,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250207,1,O3,67,69,69,71,64,77,56,63,61,64,60,64,63,65,69,66,74,71,67,67,69,60,64,75,59,52,64,64,62,69,63,61,68,70,72
20250207,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250207,1,CO,0.5,0.3,0.5,0.5,0.4,0.4,0.3,0.2,0.4,0.2,0.2,0.3,0.2,0.3,0.1,0.3,0.3,0.4,0.1,0.3,0.4,0.3,0.1,0.2,0.4,0.2,0.4,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.2
20250207,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250207,2,SO2,1,3,7,9,5,4,3,2,5,3,1,3,3,3,3,4,3,3,2,3,4,3,3,2,7,1,4,2,1,3,3,2,4,2,5
20250207,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
