date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20250330,0,PM2.5,8,8,7,12,8,9,8,6,22,8,19,20,8,7,6,9,8,8,7,9,7,12,19,17,14,13,15,14,11,15,16,10,18,15,7
20250330,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250330,0,PM10,30,24,31,31,29,26,25,31,73,29,43,56,22,23,18,26,23,22,21,28,29,29,37,48,39,39,42,44,35,39,20,34,67,73,17
20250330,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250330,0,AQI,30,24,31,31,29,26,25,31,62,29,43,53,23,23,19,26,23,22,21,28,29,29,37,48,39,39,42,44,35,39,35,34,59,62,23
20250330,1,PM2.5,8,8,8,9,10,7,10,7,17,8,12,11,6,14,7,15,10,10,9,9,9,15,20,16,15,16,24,22,12,21,15,25,18,16,9
20250330,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250330,1,PM10,28,24,33,27,35,24,29,27,57,31,29,33,18,23,17,35,27,28,24,31,36,33,38,44,49,45,64,59,40,41,26,38,61,77,19
20250330,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250330,1,AQI,28,24,33,27,35,25,29,27,54,31,29,33,23,23,19,35,27,28,24,31,36,33,38,44,49,45,57,55,40,41,33,38,56,64,20
20250330,2,PM2.5,12,10,9,10,16,21,10,7,9,13,8,11,6,6,8,17,10,10,10,9,11,14,11,12,12,14,21,24,13,15,18,10,15,19,8
20250330,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250330,2,PM10,39,25,32,30,49,45,29,29,32,55,28,34,18,21,17,29,25,27,26,36,39,27,24,43,50,46,56,61,45,37,32,39,56,96,18
20250330,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250330,2,AQI,39,25,32,30,49,45,29,29,32,53,28,35,23,21,19,29,25,27,26,36,39,27,24,43,50,46,53,56,45,37,36,39,53,73,19
20250330,3,PM2.5,19,14,15,12,15,25,17,16,8,11,9,12,5,7,7,7,9,10,10,11,12,9,9,10,9,24,29,17,17,16,22,17,12,26,8
20250330,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250330,3,PM10,54,31,49,36,45,51,45,52,30,42,32,44,17,24,19,23,22,29,29,44,39,20,20,38,45,70,67,47,57,41,49,37,43,132,18
20250330,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250330,3,AQI,52,31,49,36,45,51,45,51,30,42,32,44,24,24,19,23,22,29,29,44,39,20,20,38,45,60,59,47,54,41,49,37,43,91,19
20250330,4,PM2.5,19,20,14,17,13,22,15,14,13,13,14,18,12,7,8,8,9,9,10,9,11,9,7,9,8,24,32,13,17,19,37,11,13,20,10
20250330,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250330,4,PM10,51,44,42,47,43,44,38,40,43,58,48,55,28,26,22,22,23,31,34,43,37,21,16,37,41,64,70,39,55,49,38,35,49,103,23
20250330,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250330,4,AQI,51,44,42,47,43,44,38,40,43,54,48,53,28,26,22,22,23,31,34,43,37,21,16,37,41,57,60,39,53,49,53,35,49,77,23
