date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251009,0,PM2.5,7,6,5,5,6,5,6,5,6,4,5,4,6,7,3,2,2,5,8,5,4,4,4,4,5,3,4,2,3,4,4,3,2,4,4
20251009,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,0,PM10,13,9,11,9,10,9,9,8,10,10,10,8,10,11,7,5,,10,12,11,7,7,8,10,9,6,8,7,6,9,6,6,4,10,6
20251009,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,0,AQI,13,9,11,9,10,9,9,8,10,10,10,9,11,11,13,15,14,10,12,11,11,10,9,10,11,12,11,10,12,10,13,9,12,10,12
20251009,1,PM2.5,6,6,4,5,5,5,6,5,6,4,5,5,5,6,3,2,2,6,7,3,3,3,4,4,5,4,4,3,4,5,4,3,2,4,3
20251009,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,1,PM10,11,9,9,9,9,10,8,8,9,10,9,9,9,8,6,4,,10,11,6,6,6,7,9,9,7,9,9,8,11,,6,4,11,5
20251009,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,1,AQI,11,9,9,9,11,10,9,8,9,10,10,9,9,9,13,15,14,10,11,11,12,9,9,11,9,11,11,9,10,11,11,9,10,11,10
20251009,2,PM2.5,5,5,3,4,4,5,4,5,4,3,4,4,5,7,3,2,1,6,6,3,2,3,4,4,5,5,4,3,4,5,4,2,2,4,2
20251009,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
