date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20250813,0,SO2,4,3,4,2,4,2,3,2,2,3,2,3,4,3,3,2,3,3,2,4,1,2,3,,3,3,5,3,1,3,3,3,2,3,3
20250813,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,0,NO2,17,11,14,6,16,16,15,10,17,8,17,4,19,2,3,8,8,12,3,13,12,4,4,,18,9,11,14,11,13,5,13,12,3,7
20250813,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,0,O3,92,75,90,84,63,73,76,64,54,67,68,79,56,59,56,69,42,80,68,62,55,83,75,,87,98,103,77,86,84,83,67,66,86,96
20250813,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,0,CO,0.6,0.6,0.6,0.6,0.5,0.7,0.4,0.5,0.6,0.5,0.4,0.4,0.6,0.7,0.1,0.6,0.5,0.5,0.6,0.6,0.4,0.3,0.6,,0.3,0.7,0.6,0.5,0.6,0.5,0.4,0.5,0.7,0.4,0.4
20250813,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,1,SO2,4,2,9,2,3,2,3,2,2,3,3,3,4,3,3,3,3,3,2,3,1,2,2,,3,3,5,3,1,3,3,3,2,3,3
20250813,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,1,NO2,16,9,15,5,17,14,17,15,17,7,21,12,14,2,7,8,8,10,6,15,23,5,5,,12,7,10,11,9,10,18,19,14,6,6
20250813,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,1,O3,93,87,86,95,59,76,59,50,53,70,61,49,74,77,66,57,30,61,55,47,41,83,64,,86,103,104,80,86,80,65,61,64,83,95
20250813,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,1,CO,0.6,0.5,0.5,0.6,0.4,0.7,0.4,0.5,0.6,0.5,0.4,0.4,0.6,0.7,0.2,0.6,0.4,0.5,0.6,0.6,0.4,0.3,0.6,,0.3,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.7,0.4,0.4
20250813,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,2,SO2,4,2,4,2,4,2,3,3,2,3,2,1,4,3,3,3,3,3,2,3,1,2,2,,3,3,6,3,2,3,3,3,2,3,3
20250813,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,2,NO2,13,10,11,4,10,14,17,17,13,8,9,8,8,2,5,7,8,7,6,11,19,3,5,,14,6,11,11,8,10,23,22,18,9,6
20250813,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,2,O3,100,74,95,94,83,81,54,34,60,65,73,63,78,72,89,47,18,59,52,49,34,75,64,,90,98,98,74,67,52,45,50,56,82,98
20250813,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,2,CO,0.6,0.5,0.4,0.5,0.5,0.7,0.4,0.5,0.6,0.5,0.3,0.4,0.6,0.7,0.2,0.6,0.4,0.5,0.6,0.6,0.4,0.3,0.6,,0.3,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.7,0.4,0.4
20250813,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,3,SO2,4,3,4,2,4,3,3,3,2,3,2,3,4,3,3,2,3,3,2,3,1,2,3,,3,3,5,3,1,3,3,3,2,3,3
20250813,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,3,NO2,13,7,11,5,9,15,12,14,11,8,7,10,8,2,2,18,17,7,3,12,10,3,4,,12,13,14,9,7,11,23,23,13,10,4
20250813,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,3,O3,90,56,92,81,83,61,65,38,55,55,77,58,75,71,86,35,17,63,53,36,41,71,56,,81,87,90,69,72,38,29,49,69,75,74
20250813,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,3,CO,0.6,0.5,0.4,0.5,0.4,0.7,0.4,0.5,0.5,0.5,0.3,0.5,0.6,0.7,0.4,0.6,0.4,0.5,0.6,0.6,0.4,0.3,0.6,,0.3,0.6,0.6,0.4,0.6,0.5,0.4,0.5,0.6,0.4,0.4
20250813,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,4,SO2,4,2,3,2,4,2,3,3,2,3,2,3,3,3,3,3,1,3,2,4,1,2,3,,3,3,5,3,2,3,3,3,2,3,3
20250813,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,4,NO2,13,7,9,5,7,16,13,6,9,7,5,13,9,2,2,15,14,6,3,10,9,4,4,,11,15,10,8,12,7,21,35,11,15,11
20250813,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,4,O3,87,51,84,88,80,48,60,47,43,52,82,44,65,64,65,46,29,66,62,42,46,66,53,,63,81,91,75,55,51,17,32,65,72,54
20250813,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,4,CO,0.6,0.5,0.5,0.5,0.4,0.7,0.3,0.4,0.5,0.5,0.3,0.5,0.6,0.7,0.4,0.6,0.4,0.5,0.6,0.6,0.4,0.3,0.6,,0.3,0.6,0.6,0.4,0.6,0.5,0.4,0.5,0.6,0.4,0.4
20250813,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,5,SO2,4,2,4,2,3,2,3,3,2,3,2,3,3,3,3,2,3,3,2,3,1,2,3,,3,3,5,3,1,3,3,3,2,3,3
20250813,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,5,NO2,12,6,7,5,40,31,13,4,7,5,3,5,8,1,1,8,7,7,4,10,11,3,4,,9,5,15,6,17,13,18,16,34,8,10
20250813,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,5,O3,80,57,81,74,36,33,59,44,47,38,88,38,53,55,59,60,45,72,50,52,43,53,49,,60,78,86,78,60,44,35,49,28,76,50
20250813,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,5,CO,0.6,0.5,0.5,0.5,0.4,0.7,0.3,0.4,0.6,0.5,0.3,0.5,0.6,0.7,0.5,0.6,0.4,0.6,0.6,0.6,0.4,0.3,0.5,,0.3,0.6,0.6,0.4,0.6,0.5,0.4,0.5,0.7,0.4,0.4
20250813,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,6,SO2,4,3,3,2,3,2,2,3,2,3,2,3,3,3,3,3,1,3,2,3,1,2,2,,3,3,5,3,1,3,3,3,2,3,4
20250813,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,6,NO2,12,5,11,7,44,41,20,2,4,8,26,1,10,2,1,9,8,6,3,13,10,14,5,,8,15,17,8,13,7,19,12,25,7,9
20250813,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,6,O3,76,47,64,61,24,26,43,24,47,32,55,43,58,56,51,60,45,57,47,45,41,31,39,,56,58,68,71,54,38,39,40,21,69,38
20250813,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,6,CO,0.6,0.5,0.5,0.5,0.5,0.7,0.3,0.4,0.6,0.5,0.3,0.5,0.6,0.7,0.4,0.6,0.5,0.5,0.6,0.6,0.4,0.3,0.5,,0.3,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.7,0.4,0.4
20250813,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,7,SO2,4,2,3,2,4,3,3,2,2,3,2,3,4,3,3,3,3,3,2,3,1,2,3,,3,1,6,3,2,3,3,3,3,3,3
20250813,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,7,NO2,36,5,12,6,33,28,22,5,7,11,29,12,11,2,2,6,5,26,8,15,11,15,5,,11,9,16,11,11,23,14,9,25,12,6
20250813,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,7,O3,49,44,67,63,32,43,42,35,39,32,49,30,58,53,50,42,30,33,42,51,49,32,32,,57,66,66,67,53,18,46,29,25,69,42
20250813,7,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,7,CO,0.7,0.5,0.5,0.6,0.5,0.7,0.4,0.5,0.6,0.5,0.3,0.5,0.6,0.7,0.5,0.6,0.5,0.6,0.6,0.6,0.4,0.3,0.5,,0.3,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.7,0.4,0.4
20250813,7,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,8,SO2,4,2,4,2,3,3,3,2,2,3,2,3,4,3,3,3,3,3,2,3,1,2,3,,3,1,6,3,1,3,3,3,2,3,3
20250813,8,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250813,8,NO2,36,10,13,5,22,22,19,3,17,19,15,3,13,1,2,5,6,15,9,17,10,4,4,,10,8,14,13,12,27,8,10,13,6,12
20250813,8,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
