date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20250327,0,SO2,3,3,5,3,3,5,2,3,1,5,3,1,1,3,5,4,3,2,3,4,3,3,1,4,1,1,3,3,4,3,3,3,,3,3
20250327,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250327,0,NO2,6,5,4,3,15,2,7,3,9,3,2,4,2,2,4,1,1,2,2,2,2,1,1,3,1,7,10,2,4,6,11,5,,6,2
20250327,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250327,0,O3,85,85,82,94,72,78,73,84,76,91,88,82,86,77,86,91,91,82,85,92,85,78,90,91,72,74,80,83,80,89,71,78,,90,82
20250327,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250327,0,CO,0.2,0.4,0.4,0.1,0.4,0.3,0.4,0.2,0.3,0.4,0.3,0.1,0.4,0.7,0.1,0.4,0.3,0.2,0.3,0.2,0.4,0.2,0.3,0.1,0.3,0.2,0.3,0.1,0.3,0.2,0.2,0.2,,0.2,0.2
20250327,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250327,1,SO2,3,3,5,3,3,5,2,3,1,4,3,1,3,3,5,4,4,2,3,4,3,3,1,4,1,1,3,3,4,3,1,3,4,3,3
20250327,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250327,1,NO2,5,5,3,3,17,2,7,3,7,3,2,3,1,2,4,2,2,2,2,2,2,1,1,3,4,10,12,2,4,7,12,5,3,8,2
20250327,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250327,1,O3,87,86,82,94,69,78,73,84,76,91,88,83,89,76,88,92,93,83,86,93,86,70,89,93,73,69,75,83,79,88,69,77,80,85,80
20250327,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250327,1,CO,0.2,0.3,0.4,0.1,0.4,0.3,0.4,0.2,0.3,0.4,0.3,0.1,0.4,0.7,0.1,0.4,0.3,0.2,0.3,0.2,0.4,0.3,0.3,0.1,0.3,0.2,0.3,0.1,0.3,0.1,0.2,0.2,0.4,0.2,0.2
20250327,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
