date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20250605,0,SO2,4,3,3,4,4,5,3,3,3,4,3,1,4,3,4,4,2,2,2,5,2,3,3,5,3,3,2,,3,3,7,3,2,3,2
20250605,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250605,0,NO2,18,28,30,27,27,23,26,37,25,35,62,34,14,9,11,61,33,13,11,29,42,15,20,30,24,24,23,27,24,20,14,12,19,25,29
20250605,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250605,0,O3,112,100,93,107,95,105,85,73,82,67,58,71,79,63,63,17,20,69,83,62,56,93,63,74,71,104,106,,90,92,114,81,80,95,72
20250605,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250605,0,CO,0.4,0.3,0.2,0.4,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.5,0.3,0.4,0.4,0.2,0.4,0.4,0.4,0.3,0.4,,0.5,0.2,0.2,0.2,0.2,0.3,0.3
20250605,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250605,1,SO2,4,3,4,5,4,5,4,3,2,4,3,1,4,3,4,4,2,2,2,5,1,1,3,5,3,1,3,,3,3,3,3,2,2,2
20250605,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250605,1,NO2,20,26,31,28,28,25,30,43,39,35,54,32,12,6,12,35,24,6,9,49,22,15,14,30,26,30,22,27,26,23,16,17,34,30,32
