date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251009,0,SO2,2,3,4,2,3,3,3,2,2,3,2,3,2,3,5,1,2,2,4,5,1,1,2,3,3,3,4,3,3,1,3,6,2,3,2
20251009,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,0,NO2,18,16,16,16,19,14,16,9,14,13,15,13,22,19,2,3,2,9,15,18,6,6,6,14,21,5,8,12,10,12,8,11,8,16,10
20251009,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,0,O3,28,28,26,28,21,26,23,25,26,26,28,26,24,15,41,47,43,31,20,18,34,31,28,26,18,37,33,31,38,30,39,26,36,30,36
20251009,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,0,CO,0.5,0.5,0.5,0.5,0.4,0.7,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.2,0.3,0.2,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.5,0.3,0.3,0.3,0.4,0.4,0.3,0.4
20251009,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,1,SO2,2,3,5,2,4,3,3,2,2,3,1,3,2,3,5,1,2,3,5,4,1,1,2,3,3,3,4,3,3,1,3,5,2,3,2
20251009,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,1,NO2,22,18,14,17,21,19,15,12,12,13,19,13,17,13,2,4,2,14,16,6,4,6,5,21,18,5,7,15,15,22,11,11,11,20,12
20251009,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,1,O3,21,23,25,26,18,20,21,23,26,25,23,24,27,21,39,47,43,23,19,34,38,27,28,19,20,35,33,23,29,19,33,26,32,24,31
20251009,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,1,CO,0.5,0.5,0.5,0.5,0.4,0.7,0.4,0.5,0.5,0.4,0.3,0.3,0.3,0.4,0.2,0.3,0.2,0.4,0.5,0.4,0.3,0.5,0.5,0.5,0.4,0.4,0.3,0.6,0.4,0.3,0.3,0.4,0.4,0.4,0.4
20251009,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,2,SO2,2,3,4,2,3,4,3,2,2,3,2,3,2,3,5,1,2,2,5,4,1,2,2,3,3,3,4,3,3,1,3,3,2,3,2
20251009,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,2,NO2,19,18,14,17,18,22,18,15,12,16,24,16,24,13,1,4,2,13,9,6,4,6,5,11,11,6,8,20,16,18,10,6,14,18,11
20251009,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,2,O3,24,24,26,24,22,16,20,20,24,22,16,19,18,20,38,47,43,24,27,33,39,25,26,27,26,32,30,17,28,24,34,30,27,22,31
20251009,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,2,CO,0.4,0.5,0.4,0.5,0.4,0.7,0.3,0.5,0.5,0.4,0.2,0.3,0.3,0.4,0.2,0.3,0.2,0.4,0.4,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.3,0.7,0.4,0.3,0.3,0.4,0.4,0.3,0.3
20251009,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,3,SO2,2,3,3,2,3,4,3,2,2,3,2,3,2,1,5,3,2,2,4,5,1,1,2,3,3,3,4,3,3,1,3,3,2,3,2
20251009,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,3,NO2,12,13,11,12,15,17,16,9,11,17,18,14,18,11,1,3,2,9,5,5,4,8,4,10,9,6,6,19,14,16,11,6,9,16,11
20251009,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,3,O3,34,30,30,33,26,22,21,27,27,22,23,23,22,20,33,45,42,30,32,36,38,26,29,28,29,33,33,18,30,25,31,33,33,22,30
20251009,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,3,CO,0.4,0.4,0.4,0.4,0.3,0.7,0.3,0.4,0.3,0.4,0.2,0.3,0.2,0.4,0.2,0.3,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.7,0.4,0.4,0.3,0.3,0.4,0.3,0.3
20251009,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,4,SO2,2,3,4,2,3,3,3,2,2,3,1,3,2,1,5,3,2,2,5,5,1,1,2,3,3,3,4,1,3,1,3,3,2,3,2
20251009,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,4,NO2,12,14,10,11,14,14,14,9,8,11,15,12,32,8,8,3,2,8,5,7,5,8,4,9,9,5,7,17,18,26,10,5,8,12,9
20251009,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,4,O3,32,27,33,35,29,26,26,27,35,28,26,26,9,23,22,43,41,35,35,30,36,31,31,24,30,32,31,19,24,15,31,37,37,29,34
20251009,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,4,CO,0.4,0.4,0.4,0.4,0.3,0.6,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.4,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.3,0.4,0.3,0.7,0.5,0.4,0.3,0.3,0.3,0.3,0.3
20251009,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,5,SO2,1,3,4,2,3,3,4,2,2,3,1,3,2,1,5,3,2,2,4,4,1,1,2,2,3,3,4,1,3,1,3,3,2,3,2
20251009,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,5,NO2,12,10,9,12,12,11,13,10,8,11,11,11,26,9,25,3,2,7,5,7,5,3,4,8,9,5,8,15,15,15,12,7,7,11,9
20251009,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,5,O3,33,34,34,34,30,30,26,27,36,31,31,31,16,23,7,43,39,34,33,31,34,32,31,30,29,33,30,20,30,27,26,36,39,37,34
20251009,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,5,CO,0.3,0.3,0.4,0.4,0.3,0.6,0.3,0.4,0.4,0.3,0.2,0.3,0.2,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.3,0.4,0.3,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.3
20251009,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,6,SO2,2,3,3,2,3,3,3,2,2,3,1,3,2,3,5,1,2,2,4,4,1,1,2,2,3,3,4,3,3,1,3,3,2,3,2
20251009,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,6,NO2,11,11,10,12,12,12,13,9,7,10,16,10,21,12,24,4,2,7,5,6,4,3,4,8,8,4,11,16,15,20,16,5,7,11,9
20251009,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,6,O3,35,32,32,31,30,28,26,29,36,35,28,31,20,20,9,44,40,34,33,30,38,32,32,30,30,34,28,21,28,21,19,37,39,36,33
20251009,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009,6,CO,0.4,0.4,0.4,0.4,0.3,0.6,0.3,0.4,0.4,0.3,0.2,0.3,0.2,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.5,0.4,0.3,0.3,0.4,0.3,0.6,0.4,0.3,0.3,0.3,0.3,0.3,0.3
20251009,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
