date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20250924,0,SO2,4,3,4,2,4,3,4,2,2,2,2,3,3,3,5,3,2,2,3,3,3,1,1,,3,2,4,1,3,3,3,3,2,3,2
20250924,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250924,0,NO2,31,23,30,28,29,24,34,33,36,41,54,30,18,22,4,26,14,27,13,43,16,46,17,,49,40,26,22,30,29,20,25,30,41,12
20250924,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250924,0,O3,32,19,23,23,31,32,19,1,11,8,2,11,29,14,21,25,18,17,25,6,8,13,8,,13,22,35,22,15,24,29,11,3,14,21
20250924,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250924,0,CO,0.7,0.6,0.7,0.6,0.6,0.7,0.5,0.5,0.6,0.7,0.6,0.7,0.7,0.5,0.4,0.6,0.4,0.6,0.4,0.5,0.4,0.6,0.5,,0.3,0.7,0.7,0.5,0.5,0.3,0.5,0.2,0.5,0.3,0.5
20250924,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250924,1,SO2,4,3,210,2,3,3,3,2,2,2,2,3,2,3,5,3,1,1,3,3,3,1,1,,3,3,4,1,3,3,3,3,2,3,2
20250924,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250924,1,NO2,35,26,32,30,32,27,37,22,44,46,49,38,11,19,3,20,16,21,15,37,15,47,16,,50,38,32,19,26,27,15,24,26,38,9
20250924,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250924,1,O3,20,12,17,16,23,22,13,2,2,1,2,2,28,9,16,19,8,16,17,3,6,6,6,,5,17,22,22,15,24,37,9,3,15,18
