date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20250906,0,SO2,3,4,2,3,4,2,3,4,1,1,4,3,3,3,4,2,1,3,3,5,2,3,4,,3,3,3,3,2,1,3,3,3,3,2
20250906,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250906,0,NO2,33,16,40,38,23,21,28,11,20,22,37,35,27,32,2,10,6,6,2,16,6,11,8,,12,43,23,24,24,30,26,31,27,28,8
20250906,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250906,0,O3,28,3,18,20,26,24,15,10,21,20,28,26,14,2,29,26,14,30,29,19,23,44,37,,41,22,51,24,13,10,13,5,14,26,33
20250906,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250906,0,CO,0.7,0.7,0.6,0.8,0.5,0.5,0.6,0.4,0.5,0.6,0.5,1,0.6,0.9,0.3,0.5,0.4,0.5,0.5,0.7,0.5,0.6,0.5,,0.5,0.7,0.7,0.6,0.7,0.7,0.6,0.1,0.5,0.5,0.4
20250906,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250906,1,SO2,3,4,2,3,3,2,3,4,1,1,4,3,4,215,4,2,1,3,3,4,2,3,4,,3,3,3,3,2,3,3,3,3,3,1
20250906,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250906,1,NO2,37,16,26,28,29,34,31,16,15,29,35,37,23,21,2,11,6,6,2,10,8,16,7,,19,41,44,23,18,28,39,23,25,38,6
20250906,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250906,1,O3,22,6,36,33,20,11,18,4,23,6,23,11,11,7,23,19,11,29,27,21,18,23,32,,27,17,25,25,28,15,3,9,8,8,27
20250906,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250906,1,CO,0.6,0.7,0.5,0.8,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.9,0.6,0.8,0.3,0.5,0.4,0.5,0.5,0.6,0.4,0.6,0.5,,0.5,0.7,0.7,0.5,0.6,0.6,0.6,0.1,0.4,0.5,0.4
20250906,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
