date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20250221,0,PM2.5,5,5,6,6,6,3,7,6,6,9,8,5,10,7,5,6,7,4,6,5,4,3,4,4,4,4,3,12,5,5,10,7,11,7,10
20250221,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,0,PM10,12,,15,14,12,10,16,15,13,20,19,13,13,10,9,12,11,8,10,9,8,7,5,9,10,10,9,15,11,10,22,16,22,14,25
20250221,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,0,AQI,21,21,19,20,19,23,16,16,19,20,19,18,19,20,21,21,21,22,23,25,23,21,23,25,20,17,20,18,17,14,24,16,22,16,25
20250221,1,PM2.5,5,5,5,5,5,3,5,5,5,8,8,5,10,8,5,6,7,4,6,5,4,4,4,4,12,7,3,8,4,4,11,7,10,6,9
20250221,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,1,PM10,11,,13,11,12,10,12,14,12,19,24,12,14,13,10,12,12,7,11,10,8,6,5,8,,9,12,13,9,10,21,17,22,14,23
20250221,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,1,AQI,22,22,19,21,18,22,18,16,19,19,24,18,18,17,20,19,16,21,21,23,23,18,22,25,20,17,18,19,17,15,28,17,22,16,23
20250221,2,PM2.5,5,5,5,4,5,3,5,5,4,7,7,4,13,9,6,7,8,4,6,5,3,3,4,4,4,5,3,10,5,4,11,9,11,6,8
20250221,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,2,PM10,10,,13,11,13,9,11,12,11,18,24,13,20,12,9,13,14,7,9,10,9,6,5,8,8,10,8,11,11,12,34,23,30,16,22
20250221,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,2,AQI,21,22,18,22,16,22,19,15,19,20,24,15,20,15,18,13,19,20,22,23,23,15,21,24,19,16,19,15,17,28,34,23,30,17,22
20250221,3,PM2.5,5,5,5,4,5,3,4,5,4,8,7,5,13,8,6,7,8,4,6,5,4,4,4,4,4,7,4,7,6,4,13,7,9,12,6
20250221,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,3,PM10,9,,12,10,14,10,10,12,11,21,18,16,19,12,9,15,13,6,10,11,10,7,5,10,9,9,8,9,15,11,22,26,24,35,16
20250221,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,3,AQI,21,22,19,22,17,22,18,14,18,26,18,30,19,12,17,15,19,21,21,23,22,12,22,24,19,16,17,18,33,30,36,26,24,37,16
20250221,4,PM2.5,5,4,5,4,4,3,4,5,4,7,7,5,13,9,6,7,7,4,6,5,4,5,4,6,4,5,4,6,6,4,11,8,9,10,4
20250221,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,4,PM10,9,,11,11,12,9,10,10,11,19,17,15,20,12,9,13,12,7,10,12,10,8,5,12,10,8,9,9,14,12,25,24,27,30,12
20250221,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,4,AQI,22,22,19,21,18,23,19,15,17,23,17,28,21,13,17,13,19,21,22,23,22,15,21,23,18,17,17,17,31,28,38,24,27,35,16
20250221,5,PM2.5,5,4,5,4,5,3,5,5,4,8,6,5,11,9,6,6,7,4,6,5,4,6,9,6,5,4,3,5,6,5,6,7,8,8,4
20250221,5,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,5,PM10,10,,11,10,12,9,10,9,10,19,16,16,18,13,10,12,13,8,10,12,10,8,11,12,11,8,8,10,17,18,24,26,27,23,12
20250221,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,5,AQI,22,22,19,23,17,23,19,18,18,19,16,16,34,13,17,18,13,21,21,23,22,9,19,23,18,16,18,17,25,23,37,26,27,23,15
20250221,6,PM2.5,5,5,5,4,5,4,5,6,4,6,6,5,10,9,6,7,9,4,7,4,4,6,21,4,4,4,3,5,5,6,7,9,9,7,6
20250221,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,6,PM10,12,,12,11,12,10,11,10,11,18,16,14,16,13,10,12,14,7,11,11,10,10,26,11,10,9,8,10,11,16,17,27,31,19,19
20250221,6,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,6,AQI,20,21,19,22,18,23,18,17,19,18,16,15,17,13,16,16,14,21,20,23,22,10,30,23,19,15,18,17,17,16,35,27,31,19,19
20250221,7,PM2.5,6,5,6,4,5,4,6,7,5,4,7,5,12,9,7,10,8,5,7,4,4,8,10,3,4,4,3,5,4,5,8,13,7,7,6
20250221,7,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,7,PM10,13,,13,13,13,11,12,11,12,16,17,12,19,14,11,16,14,9,11,11,10,10,13,10,10,9,8,11,10,16,23,32,27,18,17
20250221,7,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250221,7,AQI,21,21,19,22,20,23,17,15,20,16,17,17,19,14,14,16,18,20,20,23,22,12,15,23,19,17,18,18,14,16,33,32,27,18,17
20250221,8,PM2.5,6,6,6,4,6,5,6,7,5,4,9,6,27,10,9,21,16,6,9,4,4,9,9,3,4,5,3,6,5,4,11,11,6,7,8
